Timestamp,Faces
2026-01-01 23:13:50,rr
2026-01-01 23:13:52,rr
2026-01-01 23:13:53,rr
2026-01-01 23:13:53,rr
2026-01-01 23:13:54,rr
2026-01-01 23:13:54,None
2026-01-01 23:13:55,sai
2026-01-01 23:13:55,None
2026-01-01 23:13:55,None
2026-01-01 23:13:56,sai
2026-01-01 23:13:57,rr
2026-01-01 23:13:57,rr
2026-01-01 23:13:57,None
2026-01-01 23:13:58,None
2026-01-01 23:14:00,rr
2026-01-01 23:14:01,rr
2026-01-01 23:14:01,rr
2026-01-01 23:14:02,rr
2026-01-01 23:14:03,rr
2026-01-01 23:14:03,None
2026-01-01 23:14:03,None
2026-01-01 23:14:04,rr
2026-01-01 23:14:04,None
2026-01-01 23:14:06,rr
2026-01-01 23:14:07,rr
2026-01-01 23:14:08,rr
2026-01-01 23:14:08,None
2026-01-01 23:14:08,Unknown
2026-01-01 23:14:09,rr
2026-01-01 23:14:10,rr
